username|id|name|created_at|description
SenatorAbetz|128440862|Eric Abetz|2010-04-01T03:46:59.000Z|Liberal Senator for Tasmania and Chair of the Senate Foreign Affairs, Defence and Trade Committee 🇦🇺
Birmo|22196776|Simon Birmingham|2009-02-27T22:01:20.000Z|Leader of the Government in the 🇦🇺 Senate. Senator for South Australia. Minister for Finance. Proud Dad. Frustrated Crows fan.
ajamesbragg|92430575|Senator Andrew Bragg|2009-11-25T02:43:47.000Z|Liberal Senator for New South Wales. Authorised by Andrew Bragg, Liberal Party, Sydney.
SenRaffCiccone|171888155|Senator Raff Ciccone|2010-07-28T12:19:02.000Z|Federal Labor Senator for Victoria🇦🇺 Deputy Opposition Senate Whip🏛 @CollingwoodFC tragic⚫️⚪️ @danielricciardo @F1 @storm fan🏎⚡️
MehreenFaruqi|236713668|Mehreen Faruqi|2011-01-11T06:02:39.000Z|Greens Senator for NSW. Feminist, Engineer, Migrant ✊🏽
PaulineHansonOz|1471232930|Pauline Hanson 🇦🇺|2013-05-31T03:29:36.000Z|"Official Twitter | My tweets are signed -PH | Facebook: https://t.co/r4ECY6mETG | Authorised by P Hanson, Pauline Hanson's One Nation, Brisbane."
KKeneally|18925120|Kristina Keneally|2009-01-13T02:28:44.000Z|Shadow Minister, Home Affairs, Immigration & Govt Accountability. Labor candidate for Fowler. 42nd NSW Premier. Mum, stillbirth parent. #OnYourSide
JamesMcGrathLNP|2757922069|Placeholder|2014-08-23T06:03:40.000Z|Follow @SenatorMcGrath.
NickMcKim|156077839|Nick McKim|2010-06-15T23:43:55.000Z|Greens Senator for lutruwita/Tasmania. Economic Justice/Immigration/Digital Rights. Authorised by N McKim, Australian Greens, Hobart.
almclachlan1|738622227575242752|Senator Andrew McLachlan CSC|2016-06-03T06:43:56.000Z|"| Liberal Senator for South Australia | Latest news: https://t.co/jg28efj4be…"
Deborah_ONeill|145444495|Deborah O'Neill|2010-05-19T00:35:28.000Z|Labor Senator for New South Wales  https://t.co/z1WmMRY91C
