Name,State,Short Name,Party ,DOB,Handle,Profile tags,Profile URLs
Kay Ivey,Alabama,AL,Republican,15/10/44,@GovernorKayIvey,#ALtogether,"alltogetheralabama.org, https://governor.alabama.gov/newsroom/2020/04/governor-ivey-launches-states-guide-to-covid-19-relief-efforts/"
Mike Dunleavy,Alaska,AK,Republican,5/5/61,@GovDunleavy,,
Doug Ducey,Arizona,AZ,Republican,9/4/64,@dougducey,,"azhealth.gov/covid19, ArizonaTogether.org, AZHealth.gov"
Asa Hutchinson,Arkansas,AR,Republican,3/12/50,@AsaHutchinson,,
Gavin Newsom,California,CA,Democratic,10/10/67,@CAgovernor,,
Jared Polis,Colorado,CO,Democratic,12/5/75,@GovofCO,#DoingMyPartCO,
Ned Lamont,Connecticut,CT,Democratic,3/1/54,@GovNedLamont,,
John Carney,Delaware,DE,Democratic,20/5/56,@JohnCarneyDE,,
Ron DeSantis,Florida,FL,Republican,14/9/78,@GovRonDeSantis,,
Brian Kemp,Georgia,GA,Republican,2/11/63,@GovKemp,,
David Ige,Hawaii,HI,Democratic,15/1/57,@GovHawaii,,hawaiicovid19.com
Brad Little,Idaho,ID,Republican,15/2/54,@GovernorLittle,,Coronavirus.Idaho.gov
J. B. Pritzker,Illinois,IL,Democratic,19/1/65,@GovPritzker,#AllInIllinois,allin.illinois.gov
Eric Holcomb,Indiana,IN,Republican,2/5/68,@GovHolcomb,#INthistogether ,
Kim Reynolds,Iowa,IA,Republican,4/8/59,@IAGovernor,,
Laura Kelly,Kansas,KS,Democratic,24/1/50,@GovLauraKelly,,kdheks.gov/coronavirus
Andy Beshear,Kentucky,KY,Democratic,29/11/77,@AndyBeshearKY,,
John Bel Edwards,Louisiana,LA,Democratic,16/9/66,@LouisianaGov,,ldh.la.gov/Coronavirus/
Janet Mills,Maine,ME,Democratic,30/12/47,@GovJanetMills,,
Larry Hogan,Maryland,MD,Republican,25/5/56,@GovLarryHogan,,coronavirus.maryland.gov
Charlie Baker,Massachusetts,MA,Republican,13/11/56,@MassGovernor,#COVIDMA,mass.gov/covid19
Gretchen Whitmer,Michigan,MI,Democratic,23/8/71,@GovWhitmer,,
Tim Walz,Minnesota,MN,Democratic–Farmer–Labor,6/4/64,@GovTimWalz,#StayHomeMN,mn.gov/covid19
Tate Reeves,Mississippi,MS,Republican,5/6/74,@tatereeves,,
Mike Parson,Missouri,MO,Republican,17/9/55,@GovParsonMO,,
Steve Bullock,Montana,MT,Democratic,11/4/66,@GovernorBullock,,
Pete Ricketts,Nebraska,NE,Republican,19/4/64,@GovRicketts,,
Steve Sisolak,Nevada,NV,Democratic,26/12/53,@GovSisolak,#StayHomeForNevada,nvhealthresponse.nv.gov
Chris Sununu,New Hampshire,NH,Republican,5/11/74,@GovChrisSununu,,
Phil Murphy,New Jersey,NJ,Democratic,16/8/57,@GovMurphy,,
Michelle Lujan Grisham,New Mexico,NM,Democratic,24/10/59,@GovMLG,,
Andrew Cuomo,New York,NY,Democratic,6/12/57,@NYGovCuomo,#NewYorkTough,
Roy Cooper,North Carolina,NC,Democratic,13/6/57,@NC_Governor,,ncdhhs.gov/coronavirus
Doug Burgum,North Dakota,ND,Republican,1/8/56,@DougBurgum,,
Mike DeWine,Ohio,OH,Republican,5/1/47,@GovMikeDeWine,,
Kevin Stitt,Oklahoma,OK,Republican,28/12/72,@GovStitt,#OklaProud,coronavirus.health.ok.gov
Kate Brown,Oregon,OR,Democratic,21/6/60,@OregonGovBrown,,
Tom Wolf,Pennsylvania,PA,Democratic,17/11/48,@GovernorTomWolf,,pa.gov/covid-19
Gina Raimondo,Rhode Island,RI,Democratic,17/5/71,@GovRaimondo,,health.ri.gov/diseases/ncov2019/
Henry McMaster,South Carolina,SC,Republican,27/5/47,@scgovernorpress,,
Kristi Noem,South Dakota,SD,Republican,30/11/71,@govkristinoem,,COVID.sd.gov
Bill Lee,Tennessee,TN,Republican,9/10/59,@GovBillLee,,
Greg Abbott,Texas,TX,Republican,13/11/57,@GovAbbott,,
Gary Herbert,Utah,UT,Republican,7/5/47,@GovHerbert,,
Phil Scott,Vermont,VT,Republican,4/8/58,@GovPhilScott,,
Ralph Northam,Virginia,VA,Democratic,13/9/59,@GovernorVA,,
Jay Inslee,Washington,WA,Democratic,9/2/51,@GovInslee,#WeGotThisWA,
Jim Justice,West Virginia,WV,Republican,27/4/51,@WVGovernor,,
Tony Evers,Wisconsin,WI,Democratic,5/11/51,@GovEvers,,wisconsin.gov/covid19
Mark Gordon,Wyoming,WY,Republican,4/3/57,@GovernorGordon,,
Lou Leon Guerrero,Guam,,Democratic,8/11/50,@louleonguerrero,#CancelCOVIDGU,
Wanda Vázquez Garced,Puerto Rico,,New Progressive/Republican,9/7/60,@wandavazquezg,"#PuertoRicoPrimero, #YoMeQuedoEnCasa, #MeProtejoTeProtejo",
Muriel Bowser,District of Columbia,DC,Democratic,2/8/72,@MurielBowser,#StayHomeDC,
