username,id,name,created_at,description,tweet_text
SenatorAbetz,128440862,Eric Abetz,2010-04-01T03:46:59.000Z,"Liberal Senator for Tasmania and Chair of the Senate Foreign Affairs, Defence and Trade Committee 🇦🇺","Congratulations @SenatorBrockman, elected as the 26th President to the Australian Senate.  I am pleased at the commitment he has made to uphold the traditions &amp; conventions of the Parliament, to respect the diverse views of every Senator &amp; to perform these duties with diligence. https://t.co/fiRaaCR7rv"
Birmo,22196776,Simon Birmingham,2009-02-27T22:01:20.000Z,Leader of the Government in the 🇦🇺 Senate. Senator for South Australia. Minister for Finance. Proud Dad. Frustrated Crows fan.,"72 years later our Liberal-National Government is proudly building on this legacy.  Snowy 2.0 is the largest renewable Energy project underway in 🇦🇺, adding 2000MW of on-demand energy &amp; large-scale storage.  It will support ⬇️ emissions, ⬆️ reliability &amp; ⬇️ prices. https://t.co/Ar5fn566uf"
ajamesbragg,92430575,Senator Andrew Bragg,2009-11-25T02:43:47.000Z,"Liberal Senator for New South Wales. Authorised by Andrew Bragg, Liberal Party, Sydney.","Labor's thought bubble would have been an unnecessary $6b waste of money. Labor's cash splash was an insult to Australians who always understood the importance of getting vaccinated. But have they now canned this wasteful policy or not, because Albanese continues to spruik it? https://t.co/LjQ8OW6ZLq"
SenRaffCiccone,171888155,Senator Raff Ciccone,2010-07-28T12:19:02.000Z,Federal Labor Senator for Victoria🇦🇺 Deputy Opposition Senate Whip🏛 @CollingwoodFC tragic⚫️⚪️ @danielricciardo @F1 @storm fan🏎⚡️,"With your gratefulness &amp; thoughtful outlook on life, we are fortunate to be welcoming you to Australia. Every best wish Mustafa for your new life in your new home. https://t.co/SKQ3S2MMEb"
MehreenFaruqi,236713668,Mehreen Faruqi,2011-01-11T06:02:39.000Z,"Greens Senator for NSW. Feminist, Engineer, Migrant ✊🏽","The growth agenda for digital assets relies on mainstreaming crypto, not sidelining it with boutique, second tier regulators.  https://t.co/V1uoat0WOA"
PaulineHansonOz,1471232930,Pauline Hanson 🇦🇺,2013-05-31T03:29:36.000Z,"Official Twitter | My tweets are signed -PH | Facebook: https://t.co/r4ECY6mETG | Authorised by P Hanson, Pauline Hanson's One Nation, Brisbane.",@camhawker @willclarkeinoz Highly recommend it !
KKeneally,18925120,Kristina Keneally,2009-01-13T02:28:44.000Z,"Shadow Minister, Home Affairs, Immigration & Govt Accountability. Labor candidate for Fowler. 42nd NSW Premier. Mum, stillbirth parent. #OnYourSide",This must be the least credible website in Australia. It's absurd to say that I voted against a “constitutionally enshrined First Nations voice”. I literally wrote a book in favour of it. https://t.co/1lawZfpZBS
JamesMcGrathLNP,2757922069,Placeholder,2014-08-23T06:03:40.000Z,Follow @SenatorMcGrath.,Protecting consumers &amp; boosting investment will be the key principles behind the upcoming cryptocurrency report. Have a listen to this podcast with ⁦@ceda_news.  https://t.co/39rWBFOzDp
NickMcKim,156077839,Nick McKim,2010-06-15T23:43:55.000Z,"Greens Senator for lutruwita/Tasmania. Economic Justice/Immigration/Digital Rights. Authorised by N McKim, Australian Greens, Hobart.",@ALeighMP Hey didn't you want to pay it to foreign government subsidiaries?
almclachlan1,7.38622E+17,Senator Andrew McLachlan CSC,2016-06-03T06:43:56.000Z,| Liberal Senator for South Australia | Latest news: https://t.co/jg28efj4be…,A Commonwealth anti-corruption body makes complete sense. The Victorian model is a good starting point. 👇 https://t.co/KWXvDeOv7z
